Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","R_0201_NoSilk",27.060000,-26.050000,90.000000,bottom
"C2","100nF","R_0201_NoSilk",25.070000,-26.060000,90.000000,bottom
"C3","1uF","C_0201_NoSilk",32.140000,-19.810000,90.000000,bottom
"C4","1uF","C_0201_NoSilk",32.740000,-19.810000,90.000000,bottom
"C5","1uF","C_0201_NoSilk",25.070000,-24.160000,270.000000,bottom
"C6","1uF","C_0201_NoSilk",24.512000,-24.157600,270.000000,bottom
"C7","1uF","C_0201_NoSilk",32.710000,-23.740000,270.000000,bottom
"C8","1uF","C_0201_NoSilk",32.050000,-23.530000,270.000000,bottom
"C9","1uF","R_0201_NoSilk",28.100000,-26.980000,180.000000,bottom
"C10","100nF","R_0201_NoSilk",28.270000,-26.010000,180.000000,bottom
"C14","100nF","R_0201_NoSilk",27.344100,-24.170300,180.000000,bottom
"C25","100nF","R_0201_NoSilk",32.210000,-25.300000,0.000000,bottom
"C26","100nF","R_0201_NoSilk",30.570000,-20.250000,270.000000,bottom
"C27","10uF","R_0402_NoSilk",24.350000,-20.652740,90.000000,bottom
"L1","Ferrite_Bead_Small","L_0402",28.180000,-28.130000,270.000000,bottom
"R1","1.5k","R_0201_NoSilk",26.410000,-26.070000,90.000000,bottom
"R2","1.8k","R_0201_NoSilk",25.750000,-26.060000,90.000000,bottom
"R3","1.5k","R_0201_NoSilk",32.860000,-27.090000,90.000000,bottom
"R4","DNP","R_0201_NoSilk",32.860000,-28.100000,270.000000,bottom
"R6","10k","R_0201_NoSilk",25.638760,-19.931380,0.000000,bottom
"R7","10k","R_0201_NoSilk",26.393140,-20.500340,270.000000,bottom
"R8","10k","R_0201_NoSilk",25.200000,-21.230000,270.000000,bottom
"REF**","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",30.673040,-23.520400,0.000000,bottom
"REF**","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",24.378920,-28.127960,0.000000,bottom
"U2","LMV321","SC-70",26.310000,-27.540000,270.000000,bottom
"U3","LM3880","LM3880",29.390000,-20.960000,270.000000,bottom
"U4","NCP163_1.8V","XDFN4",32.380000,-20.910000,180.000000,bottom
"U5","NCP163_3.3V","XDFN4",24.760000,-23.050000,0.000000,bottom
"U6","NCP163_3.3V","XDFN4",32.360000,-22.350000,0.000000,bottom
"U7","MEM-OSC","Oscillator_SMD_Abracon_ASE-4pin_3.2x2.5mm",30.750000,-27.430000,180.000000,bottom
