Ref,Val,Package,PosX,PosY,Rot,Side
"C11","10uF","R_0402_NoSilk",24.710000,-23.760000,180.000000,top
"C12","100nF","R_0201_NoSilk",32.230000,-24.860000,0.000000,top
"C13","100nF","R_0201_NoSilk",31.260000,-27.230000,270.000000,top
"C15","10nF","R_0201_NoSilk",30.560000,-27.230000,270.000000,top
"C16","10nF","R_0201_NoSilk",24.830000,-23.090000,180.000000,top
"C17","100nF","R_0201_NoSilk",31.255700,-21.096900,0.000000,top
"C18","100nF","R_0201_NoSilk",29.860000,-27.230000,270.000000,top
"C19","10uF","R_0402_NoSilk",27.280000,-21.070000,0.000000,top
"C20","10nF","R_0201_NoSilk",26.195020,-20.957540,90.000000,top
"C21","100nF","R_0201_NoSilk",28.520000,-21.190000,180.000000,top
"C22","10uF","R_0402_NoSilk",24.762460,-21.089620,180.000000,top
"C23","100nF","R_0201_NoSilk",32.072580,-22.385020,90.000000,top
"C24","10nF","R_0201_NoSilk",24.850000,-21.870000,180.000000,top
"R5","47.5k","R_0201_NoSilk",24.990000,-24.820000,90.000000,top
"REF**","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",24.274780,-28.214320,0.000000,top
"REF**","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",29.870400,-20.563840,0.000000,top
