Ref,Val,Package,PosX,PosY,Rot,Side
"C14","10uF","C_0402_NoSilk",13.265520,8.535660,180.000000,bottom
"C15","10nF","C_0201_NoSilk",11.578960,9.490340,270.000000,bottom
"C16","10uF","C_0402_NoSilk",11.588760,10.946160,90.000000,bottom
"C17","22uF","C_0603",5.998960,10.890340,270.000000,bottom
"C18","100nF","C_0201_NoSilk",6.708960,11.290340,270.000000,bottom
"C24","10uF","C_0402_NoSilk",12.028960,6.280340,270.000000,bottom
"C25","10uF","C_0402_NoSilk",14.342120,6.577360,270.000000,bottom
"C26","10uF","C_0402_NoSilk",10.448960,9.010340,180.000000,bottom
"C27","100nF","C_0201_NoSilk",6.138960,5.750340,180.000000,bottom
"D1","LED","LED_0402",9.980940,9.998740,180.000000,bottom
"L1","742692003 ","L_0201",13.194040,11.527820,180.000000,bottom
"L3","CIG21L4R7MNE ","L_0805",11.028960,13.230340,90.000000,bottom
"L4","LQH3NPN101MGRL","LQH3NPN101MGRL",8.478960,13.010340,270.000000,bottom
"L6","DFE201610P-1R0M","L_0805",10.998960,7.990340,0.000000,bottom
"R7","1k","R_0402",12.578960,13.570340,270.000000,bottom
"R8","1k","R_0402",6.288960,12.950340,90.000000,bottom
"R9","0R","R_0201_NoSilk",8.365500,9.795540,0.000000,bottom
"R10","10k","R_0201_NoSilk",8.188960,5.990340,180.000000,bottom
"R11","10k","R_0201_NoSilk",9.628960,6.080340,180.000000,bottom
"R12","10k","R_0201_NoSilk",8.018960,8.410340,270.000000,bottom
"U2","FXL6408","UMLP_Quad16_lead",6.598960,7.500340,0.000000,bottom
"U5","LM3643","DSBGA-12-1.69x1.31-pitch0.4",10.938960,6.300340,180.000000,bottom
"U6","LM36011","DSBGA-8-1.512x0.8-pitch0.35",13.528960,6.230340,180.000000,bottom
