Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10nF","C_0201_NoSilk",5.810000,10.480000,180.000000,top
"C4","10nF","C_0201_NoSilk",5.800000,9.490000,180.000000,top
"C7","10nF","C_0201_NoSilk",12.240000,7.310000,270.000000,top
"C8","10uF","C_0402_NoSilk",13.747760,6.879620,270.000000,top
"C10","47nF","C_0201_NoSilk",12.467600,8.865900,180.000000,top
"C11","10nF","C_0201_NoSilk",12.858760,8.388380,0.000000,top
"C12","1uF","C_0201_NoSilk",12.196180,6.308080,90.000000,top
"C13","100nF","C_0201_NoSilk",12.270000,10.810000,270.000000,top
"C19","100nF","C_0201_NoSilk",6.018960,11.480340,270.000000,top
"C21","1uF","C_0402_NoSilk",12.498960,14.280340,0.000000,top
"C23","1uF","C_0402_NoSilk",13.778960,13.840340,90.000000,top
"L2","742692003 ","L_0201",14.311640,7.334280,270.000000,top
"L5","742692003 ","L_0201",11.348960,13.020340,180.000000,top
"R1","1k","R_0201_NoSilk",9.468960,5.960340,0.000000,top
"R2","1k","R_0201_NoSilk",8.498960,5.960340,180.000000,top
"R3","10k","R_0201_NoSilk",11.728460,5.830600,90.000000,top
"R4","49R9","R_0201_NoSilk",13.448960,8.920340,180.000000,top
"R5","10k","R_0201_NoSilk",11.151880,5.835680,90.000000,top
"R6","100k","R_0201_NoSilk",10.398960,5.960340,180.000000,top
"REF1","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",5.518960,5.540340,0.000000,top
"REF2","Fiducial_0.5mm_Dia_1mm_Outer","Fiducial_0.5mm_Dia_1mm_Outer",14.124040,12.434560,0.000000,top
"U1","DS90UR913A","WQFN-32-1EP_5x5mm_Pitch0.5mm",9.130000,9.070000,90.000000,top
"U3","NCP163_1.8V","XDFN4",12.650000,13.360000,180.000000,top
"U4","LSM6DS3H","LGA-142.5x3x0.8614L",6.858960,13.390340,0.000000,top
